field_id,subset,phenotype_description,type
23495,,Concentration of Large VLDL Particles,continuous
23496,,Total Lipids in Large VLDL,continuous
23497,,Phospholipids in Large VLDL,continuous
23498,,Cholesterol in Large VLDL,continuous
23499,,Cholesteryl Esters in Large VLDL,continuous
23500,,Free Cholesterol in Large VLDL,continuous
23501,,Triglycerides in Large VLDL,continuous
23502,,Concentration of Medium VLDL Particles,continuous
23503,,Total Lipids in Medium VLDL,continuous
23504,,Phospholipids in Medium VLDL,continuous
23505,,Cholesterol in Medium VLDL,continuous
23506,,Cholesteryl Esters in Medium VLDL,continuous
23507,,Free Cholesterol in Medium VLDL,continuous
23508,,Triglycerides in Medium VLDL,continuous
23509,,Concentration of Small VLDL Particles,continuous
23510,,Total Lipids in Small VLDL,continuous
23511,,Phospholipids in Small VLDL,continuous
23512,,Cholesterol in Small VLDL,continuous
23513,,Cholesteryl Esters in Small VLDL,continuous
23514,,Free Cholesterol in Small VLDL,continuous
23515,,Triglycerides in Small VLDL,continuous
23516,,Concentration of Very Small VLDL Particles,continuous
23517,,Total Lipids in Very Small VLDL,continuous
23518,,Phospholipids in Very Small VLDL,continuous
23519,,Cholesterol in Very Small VLDL,continuous
23520,,Cholesteryl Esters in Very Small VLDL,continuous
23521,,Free Cholesterol in Very Small VLDL,continuous
23522,,Triglycerides in Very Small VLDL,continuous
23523,,Concentration of IDL Particles,continuous
23524,,Total Lipids in IDL,continuous
23525,,Phospholipids in IDL,continuous
23526,,Cholesterol in IDL,continuous
23527,,Cholesteryl Esters in IDL,continuous
23528,,Free Cholesterol in IDL,continuous
23529,,Triglycerides in IDL,continuous
23530,,Concentration of Large LDL Particles,continuous
23531,,Total Lipids in Large LDL,continuous
23532,,Phospholipids in Large LDL,continuous
23533,,Cholesterol in Large LDL,continuous
23534,,Cholesteryl Esters in Large LDL,continuous
23535,,Free Cholesterol in Large LDL,continuous
23536,,Triglycerides in Large LDL,continuous
23537,,Concentration of Medium LDL Particles,continuous
23538,,Total Lipids in Medium LDL,continuous
23539,,Phospholipids in Medium LDL,continuous
23540,,Cholesterol in Medium LDL,continuous
23541,,Cholesteryl Esters in Medium LDL,continuous
23542,,Free Cholesterol in Medium LDL,continuous
23543,,Triglycerides in Medium LDL,continuous
23544,,Concentration of Small LDL Particles,continuous
23545,,Total Lipids in Small LDL,continuous
23546,,Phospholipids in Small LDL,continuous
23547,,Cholesterol in Small LDL,continuous
23548,,Cholesteryl Esters in Small LDL,continuous
23549,,Free Cholesterol in Small LDL,continuous
23550,,Triglycerides in Small LDL,continuous
23551,,Concentration of Very Large HDL Particles,continuous
23552,,Total Lipids in Very Large HDL,continuous
23553,,Phospholipids in Very Large HDL,continuous
23554,,Cholesterol in Very Large HDL,continuous
23555,,Cholesteryl Esters in Very Large HDL,continuous
23556,,Free Cholesterol in Very Large HDL,continuous
23557,,Triglycerides in Very Large HDL,continuous
23558,,Concentration of Large HDL Particles,continuous
23559,,Total Lipids in Large HDL,continuous
23560,,Phospholipids in Large HDL,continuous
23561,,Cholesterol in Large HDL,continuous
23562,,Cholesteryl Esters in Large HDL,continuous
23563,,Free Cholesterol in Large HDL,continuous
23564,,Triglycerides in Large HDL,continuous
23565,,Concentration of Medium HDL Particles,continuous
23566,,Total Lipids in Medium HDL,continuous
23567,,Phospholipids in Medium HDL,continuous
23568,,Cholesterol in Medium HDL,continuous
23569,,Cholesteryl Esters in Medium HDL,continuous
23570,,Free Cholesterol in Medium HDL,continuous
23571,,Triglycerides in Medium HDL,continuous
23572,,Concentration of Small HDL Particles,continuous
23573,,Total Lipids in Small HDL,continuous
23574,,Phospholipids in Small HDL,continuous
23575,,Cholesterol in Small HDL,continuous
23576,,Cholesteryl Esters in Small HDL,continuous
23577,,Free Cholesterol in Small HDL,continuous
23578,,Triglycerides in Small HDL,continuous
23652,1,High Lactate,binary
23653,1,High Pyruvate,binary
23654,1,Low Glucose,binary
23655,1,Low Protein,binary
5098,average,6mm weak meridian (right),continuous
30610,,Alkaline phosphatase,continuous
30620,,Alanine aminotransferase,continuous
30630,,Apolipoprotein A,continuous
30640,,Apolipoprotein B,continuous
30650,,Aspartate aminotransferase,continuous
30710,,C-reactive protein,continuous
30720,,Cystatin C,continuous
30740,,Glucose,continuous
30750,,Glycated haemoglobin (HbA1c),continuous
30770,,IGF-1,continuous
30790,,Lipoprotein A,continuous
30810,,Phosphate,continuous
30830,,SHBG,continuous
30880,,Urate,continuous
30010,,Red blood cell (erythrocyte) count,continuous
30040,,Mean corpuscular volume,continuous
30050,,Mean corpuscular haemoglobin,continuous
30070,,Red blood cell (erythrocyte) distribution width,continuous
30080,,Platelet count,continuous
30090,,Platelet crit,continuous
30100,,Mean platelet (thrombocyte) volume,continuous
30110,,Platelet distribution width,continuous
30130,,Monocyte count,continuous
30150,,Eosinophill count,continuous
30210,,Eosinophill percentage,continuous
30270,,Mean sphered cell volume,continuous
12144,,Height,continuous
21001,,Body mass index (BMI),continuous
21002,,Weight,continuous
3581,,Age at menopause (last menstrual period),continuous
5256,,Corneal hysteresis (right),continuous
5257,,Corneal resistance factor (right),continuous
5264,,Corneal hysteresis (left),continuous
5265,,Corneal resistance factor (left),continuous
22420,,LV ejection fraction,continuous
22421,,LV end diastolic volume,continuous
22422,,LV end systolic volume,continuous
22423,,LV stroke volume,continuous
25028,,Median T2star in caudate (left),continuous
25030,,Median T2star in putamen (left),continuous
25031,,Median T2star in putamen (right),continuous
90012,,Overall acceleration average,continuous
90051,,Wear duration overall,continuous
90052,,Non wear duration overall,continuous
20401,1,Ever addicted to any substance or behaviour,binary
20404,1,Ever physically dependent on alcohol,binary
20406,1,Ever addicted to alcohol,binary
20415,1,Ongoing addiction to alcohol,binary
20431,1,Ever addicted to a behaviour or miscellanous,binary
20432,1,Ongoing behavioural or miscellanous addiction,binary
20456,1,Ever addicted to illicit or recreational drugs,binary
20457,1,Ongoing addiction or dependence on illicit or recreational drugs,binary
20503,1,Ever addicted to prescription or over-the-counter medication,binary
20504,1,Ongoing addiction or dependence to over-the-counter medication,binary
20552,2,Behavioural and miscellaneous addictions,binary
1568,,Average weekly red wine intake,continuous
1578,,Average weekly champagne plus white wine intake,continuous
1588,,Average weekly beer plus cider intake,continuous
1598,,Average weekly spirits intake,continuous
1608,,Average weekly fortified wine intake,continuous
1618,1,Alcohol usually taken with meals,binary
1628,1,Alcohol intake versus 10 years previously,binary
3731,1,Former alcohol drinker,binary
4407,,Average monthly red wine intake,continuous
4418,,Average monthly champagne plus white wine intake,continuous
4429,,Average monthly beer plus cider intake,continuous
4440,,Average monthly spirits intake,continuous
4451,,Average monthly fortified wine intake,continuous
4462,,Average monthly intake of other alcoholic drinks,continuous
5364,,Average weekly intake of other alcoholic drinks,continuous
20117,2,Alcohol drinker status,binary
20405,2,"Ever had known person concerned about, or recommend reduction of, alcohol consumption",binary
100580,1,Alcohol consumed,binary
20417,1,"Tense, sore, or aching muscles during worst period of anxiety",binary
20419,1,Difficulty concentrating during worst period of anxiety,binary
20420,,Longest period spent worried or anxious,continuous
20421,1,"Ever felt worried, tense, or anxious for most of a month or longer",binary
20422,1,More irritable than usual during worst period of anxiety,binary
20423,1,Keyed up or on edge during worst period of anxiety,binary
20425,1,Ever worried more than most people would in similar situation,binary
20426,1,Restless during period of worst anxiety,binary
20427,1,Frequent trouble falling or staying asleep during worst period of anxiety,binary
20428,1,Professional informed about anxiety,binary
20429,1,Easily tired during worst period of anxiety,binary
20538,1,Worried most days during period of worst anxiety,binary
20540,1,Multiple worries during worst period of anxiety,binary
20542,1,Stronger worrying (than other people) during period of worst anxiety,binary
93,average,"Systolic blood pressure, manual reading",continuous
94,average,"Diastolic blood pressure, manual reading",continuous
95,average,Pulse rate (during blood-pressure measurement),continuous
102,average,"Pulse rate, automated reading",continuous
4079,average,"Diastolic blood pressure, automated reading",continuous
4080,average,"Systolic blood pressure, automated reading",continuous
6218,,"Impedance of whole body, manual entry",continuous
6219,,"Impedance of leg, manual entry (right)",continuous
6220,,"Impedance of leg, manual entry (left)",continuous
6221,,"Impedance of arm, manual entry (right)",continuous
6222,,"Impedance of arm, manual entry (left)",continuous
23098,,Weight,continuous
23099,,Body fat percentage,continuous
23100,,Whole body fat mass,continuous
23101,,Whole body fat-free mass,continuous
23102,,Whole body water mass,continuous
23104,,Body mass index (BMI),continuous
23106,,Impedance of whole body,continuous
23107,,Impedance of leg (right),continuous
23108,,Impedance of leg (left),continuous
23109,,Impedance of arm (right),continuous
23110,,Impedance of arm (left),continuous
23111,,Leg fat percentage (right),continuous
23112,,Leg fat mass (right),continuous
23113,,Leg fat-free mass (right),continuous
23114,,Leg predicted mass (right),continuous
23115,,Leg fat percentage (left),continuous
23116,,Leg fat mass (left),continuous
23117,,Leg fat-free mass (left),continuous
23118,,Leg predicted mass (left),continuous
23119,,Arm fat percentage (right),continuous
23120,,Arm fat mass (right),continuous
23121,,Arm fat-free mass (right),continuous
23122,,Arm predicted mass (right),continuous
23123,,Arm fat percentage (left),continuous
23124,,Arm fat mass (left),continuous
23125,,Arm fat-free mass (left),continuous
23126,,Arm predicted mass (left),continuous
23127,,Trunk fat percentage,continuous
23128,,Trunk fat mass,continuous
23129,,Trunk fat-free mass,continuous
23130,,Trunk predicted mass,continuous
77,,"Heel bone ultrasound T-score, manual entry",continuous
78,,"Heel bone mineral density (BMD) T-score, automated",continuous
3081,,Foot measured for bone density,continuous
3082,1,Fractured heel,binary
3083,,"Heel quantitative ultrasound index (QUI), manual entry",continuous
3084,,"Heel bone mineral density (BMD), manual entry",continuous
3085,,"Heel Broadband ultrasound attenuation (BUA), manual entry",continuous
3143,,Ankle spacing width,continuous
3144,,"Heel Broadband ultrasound attenuation, direct entry",continuous
100940,1,Bread consumed,binary
101300,1,Butter/margarine on bread/crackers,binary
102700,1,Starchy food consumers,binary
2316,1,Wheeze or whistling in the chest in last year,binary
4717,1,Shortness of breath walking on level ground,binary
40006,C00 ,Type of cancer: Malignant neoplasm of lip,binary
40006,C01 ,Type of cancer: Malignant neoplasm of base of tongue,binary
40006,C02 ,Type of cancer: Malignant neoplasm of other and unspecified parts of tongue,binary
40006,C03 ,Type of cancer: Malignant neoplasm of gum,binary
40006,C04 ,Type of cancer: Malignant neoplasm of floor of mouth,binary
40006,C05 ,Type of cancer: Malignant neoplasm of palate,binary
40006,C06 ,Type of cancer: Malignant neoplasm of other and unspecified parts of mouth,binary
40006,C07 ,Type of cancer: Malignant neoplasm of parotid gland,binary
40006,C08 ,Type of cancer: Malignant neoplasm of other and unspecified major salivary glands,binary
40006,C09 ,Type of cancer: Malignant neoplasm of tonsil,binary
40006,C10 ,Type of cancer: Malignant neoplasm of oropharynx,binary
40006,C11 ,Type of cancer: Malignant neoplasm of nasopharynx,binary
40006,C12 ,Type of cancer: Malignant neoplasm of pyriform sinus,binary
40006,C13 ,Type of cancer: Malignant neoplasm of hypopharynx,binary
40006,C14 ,"Type of cancer: Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",binary
40006,C15 ,Type of cancer: Malignant neoplasm of oesophagus,binary
40006,C16 ,Type of cancer: Malignant neoplasm of stomach,binary
40006,C17 ,Type of cancer: Malignant neoplasm of small intestine,binary
40006,C18 ,Type of cancer: Malignant neoplasm of colon,binary
40006,C19 ,Type of cancer: Malignant neoplasm of rectosigmoid junction,binary
40006,C20 ,Type of cancer: Malignant neoplasm of rectum,binary
40006,C21 ,Type of cancer: Malignant neoplasm of anus and anal canal,binary
40006,C22 ,Type of cancer: Malignant neoplasm of liver and intrahepatic bile ducts,binary
40006,C23 ,Type of cancer: Malignant neoplasm of gallbladder,binary
40006,C24 ,Type of cancer: Malignant neoplasm of other and unspecified parts of biliary tract,binary
40006,C25 ,Type of cancer: Malignant neoplasm of pancreas,binary
40006,C26 ,Type of cancer: Malignant neoplasm of other and ill-defined digestive organs,binary
40006,C30 ,Type of cancer: Malignant neoplasm of nasal cavity and middle ear,binary
40006,C31 ,Type of cancer: Malignant neoplasm of accessory sinuses,binary
40006,C32 ,Type of cancer: Malignant neoplasm of larynx,binary
40006,C33 ,Type of cancer: Malignant neoplasm of trachea,binary
40006,C34 ,Type of cancer: Malignant neoplasm of bronchus and lung,binary
40006,C37 ,Type of cancer: Malignant neoplasm of thymus,binary
40006,C38 ,"Type of cancer: Malignant neoplasm of heart, mediastinum and pleura",binary
40006,C39 ,Type of cancer: Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,binary
40006,C40 ,Type of cancer: Malignant neoplasm of bone and articular cartilage of limbs,binary
40006,C41 ,Type of cancer: Malignant neoplasm of bone and articular cartilage of other and unspecified sites,binary
40006,C42 ,Type of cancer: hematopoietic and reticuloendothelial systems (ICD-O-3 specific),binary
40006,C43 ,Type of cancer: Malignant melanoma of skin,binary
40006,C44 ,Type of cancer: Other malignant neoplasms of skin,binary
40006,C45 ,Type of cancer: Mesothelioma,binary
40006,C46 ,Type of cancer: Kaposi's sarcoma,binary
40006,C47 ,Type of cancer: Malignant neoplasm of peripheral nerves and autonomic nervous system,binary
40006,C48 ,Type of cancer: Malignant neoplasm of retroperitoneum and peritoneum,binary
40006,C49 ,Type of cancer: Malignant neoplasm of other connective and soft tissue,binary
40006,C50 ,Type of cancer: Malignant neoplasm of breast,binary
40006,C51 ,Type of cancer: Malignant neoplasm of vulva,binary
40006,C52 ,Type of cancer: Malignant neoplasm of vagina,binary
40006,C53 ,Type of cancer: Malignant neoplasm of cervix uteri,binary
40006,C54 ,Type of cancer: Malignant neoplasm of corpus uteri,binary
40006,C55 ,"Type of cancer: Malignant neoplasm of uterus, part unspecified",binary
40006,C56 ,Type of cancer: Malignant neoplasm of ovary,binary
40006,C57 ,Type of cancer: Malignant neoplasm of other and unspecified female genital organs,binary
40006,C58 ,Type of cancer: Malignant neoplasm of placenta,binary
40006,C60 ,Type of cancer: Malignant neoplasm of penis,binary
40006,C61 ,Type of cancer: Malignant neoplasm of prostate,binary
40006,C62 ,Type of cancer: Malignant neoplasm of testis,binary
40006,C63 ,Type of cancer: Malignant neoplasm of other and unspecified male genital organs,binary
40006,C64 ,"Type of cancer: Malignant neoplasm of kidney, except renal pelvis",binary
40006,C65 ,Type of cancer: Malignant neoplasm of renal pelvis,binary
40006,C66 ,Type of cancer: Malignant neoplasm of ureter,binary
40006,C67 ,Type of cancer: Malignant neoplasm of bladder,binary
40006,C68 ,Type of cancer: Malignant neoplasm of other and unspecified urinary organs,binary
40006,C69 ,Type of cancer: Malignant neoplasm of eye and adnexa,binary
40006,C70 ,Type of cancer: Malignant neoplasm of meninges,binary
40006,C71 ,Type of cancer: Malignant neoplasm of brain,binary
40006,C72 ,"Type of cancer: Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",binary
40006,C73 ,Type of cancer: Malignant neoplasm of thyroid gland,binary
40006,C74 ,Type of cancer: Malignant neoplasm of adrenal gland,binary
40006,C75 ,Type of cancer: Malignant neoplasm of other endocrine glands and related structures,binary
40006,C76 ,Type of cancer: Malignant neoplasm of other and ill-defined sites,binary
40006,C77 ,Type of cancer: Secondary and unspecified malignant neoplasm of lymph nodes,binary
40006,C78 ,Type of cancer: Secondary malignant neoplasm of respiratory and digestive organs,binary
40006,C79 ,Type of cancer: Secondary malignant neoplasm of other sites,binary
40006,C80 ,Type of cancer: Malignant neoplasm without specification of site,binary
40006,C81 ,Type of cancer: Hodgkin's disease,binary
40006,C82 ,Type of cancer: Follicular [nodular] non-Hodgkin's lymphoma,binary
40006,C83 ,Type of cancer: Diffuse non-Hodgkin's lymphoma,binary
40006,C84 ,Type of cancer: Peripheral and cutaneous T-cell lymphomas,binary
40006,C85 ,Type of cancer: Other and unspecified types of non-Hodgkin's lymphoma,binary
40006,C86 ,Type of cancer: Other specified types of T/NK-cell lymphoma,binary
40006,C88 ,Type of cancer: Malignant immunoproliferative diseases,binary
40006,C90 ,Type of cancer: Multiple myeloma and malignant plasma cell neoplasms,binary
40006,C91 ,Type of cancer: Lymphoid leukaemia,binary
40006,C92 ,Type of cancer: Myeloid leukaemia,binary
40006,C93 ,Type of cancer: Monocytic leukaemia,binary
40006,C94 ,Type of cancer: Other leukaemias of specified cell type,binary
40006,C95 ,Type of cancer: Leukaemia of unspecified cell type,binary
40006,C96 ,"Type of cancer: Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue",binary
40006,C97 ,Type of cancer: Malignant neoplasms of independent (primary) multiple sites,binary
40006,D00 ,"Type of cancer: Carcinoma in situ of oral cavity, oesophagus and stomach",binary
40006,D01 ,Type of cancer: Carcinoma in situ of other and unspecified digestive organs,binary
40006,D02 ,Type of cancer: Carcinoma in situ of middle ear and respiratory system,binary
40006,D03 ,Type of cancer: Melanoma in situ,binary
40006,D04 ,Type of cancer: Carcinoma in situ of skin,binary
40006,D05 ,Type of cancer: Carcinoma in situ of breast,binary
40006,D06 ,Type of cancer: Carcinoma in situ of cervix uteri,binary
40006,D07 ,Type of cancer: Carcinoma in situ of other and unspecified genital organs,binary
40006,D09 ,Type of cancer: Carcinoma in situ of other and unspecified sites,binary
40006,D10 ,Type of cancer: Benign neoplasm of mouth and pharynx,binary
40006,D11 ,Type of cancer: Benign neoplasm of major salivary glands,binary
40006,D12 ,"Type of cancer: Benign neoplasm of colon, rectum, anus and anal canal",binary
40006,D13 ,Type of cancer: Benign neoplasm of other and ill-defined parts of digestive system,binary
40006,D14 ,Type of cancer: Benign neoplasm of middle ear and respiratory system,binary
40006,D15 ,Type of cancer: Benign neoplasm of other and unspecified intrathoracic organs,binary
40006,D16 ,Type of cancer: Benign neoplasm of bone and articular cartilage,binary
40006,D17 ,Type of cancer: Benign lipomatous neoplasm,binary
40006,D18 ,"Type of cancer: Haemangioma and lymphangioma, any site",binary
40006,D19 ,Type of cancer: Benign neoplasm of mesothelial tissue,binary
40006,D20 ,Type of cancer: Benign neoplasm of soft tissue of retroperitoneum and peritoneum,binary
40006,D21 ,Type of cancer: Other benign neoplasms of connective and other soft tissue,binary
40006,D22 ,Type of cancer: Melanocytic naevi,binary
40006,D23 ,Type of cancer: Other benign neoplasms of skin,binary
40006,D24 ,Type of cancer: Benign neoplasm of breast,binary
40006,D25 ,Type of cancer: Leiomyoma of uterus,binary
40006,D26 ,Type of cancer: Other benign neoplasms of uterus,binary
40006,D27 ,Type of cancer: Benign neoplasm of ovary,binary
40006,D28 ,Type of cancer: Benign neoplasm of other and unspecified female genital organs,binary
40006,D29 ,Type of cancer: Benign neoplasm of male genital organs,binary
40006,D30 ,Type of cancer: Benign neoplasm of urinary organs,binary
40006,D31 ,Type of cancer: Benign neoplasm of eye and adnexa,binary
40006,D32 ,Type of cancer: Benign neoplasm of meninges,binary
40006,D33 ,Type of cancer: Benign neoplasm of brain and other parts of central nervous system,binary
40006,D34 ,Type of cancer: Benign neoplasm of thyroid gland,binary
40006,D35 ,Type of cancer: Benign neoplasm of other and unspecified endocrine glands,binary
40006,D36 ,Type of cancer: Benign neoplasm of other and unspecified sites,binary
40006,D37 ,Type of cancer: Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs,binary
40006,D38 ,Type of cancer: Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs,binary
40006,D39 ,Type of cancer: Neoplasm of uncertain or unknown behaviour of female genital organs,binary
40006,D40 ,Type of cancer: Neoplasm of uncertain or unknown behaviour of male genital organs,binary
40006,D41 ,Type of cancer: Neoplasm of uncertain or unknown behaviour of urinary organs,binary
40006,D42 ,Type of cancer: Neoplasm of uncertain or unknown behaviour of meninges,binary
40006,D43 ,Type of cancer: Neoplasm of uncertain or unknown behaviour of brain and central nervous system,binary
40006,D44 ,Type of cancer: Neoplasm of uncertain or unknown behaviour of endocrine glands,binary
40006,D45 ,Type of cancer: Polycythaemia vera,binary
40006,D46 ,Type of cancer: Myelodysplastic syndromes,binary
40006,D47 ,"Type of cancer: Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue",binary
40006,D48 ,Type of cancer: Neoplasm of uncertain or unknown behaviour of other and unspecified sites,binary
40006,O01,Hydatidiform mole,binary
40008,,Age at cancer diagnosis,continuous
40009,,Reported occurrences of cancer,continuous
2345,1,Ever had bowel cancer screening,binary
2365,1,Ever had prostate specific antigen (PSA) test,binary
22670,,Minimum carotid IMT (intima-medial thickness) at 120 degrees,continuous
22671,,Mean carotid IMT (intima-medial thickness) at 120 degrees,continuous
22672,,Maximum carotid IMT (intima-medial thickness) at 120 degrees,continuous
22673,,Minimum carotid IMT (intima-medial thickness) at 150 degrees,continuous
22674,,Mean carotid IMT (intima-medial thickness) at 150 degrees,continuous
22675,,Maximum carotid IMT (intima-medial thickness) at 150 degrees,continuous
22676,,Minimum carotid IMT (intima-medial thickness) at 210 degrees,continuous
22677,,Mean carotid IMT (intima-medial thickness) at 210 degrees,continuous
22678,,Maximum carotid IMT (intima-medial thickness) at 210 degrees,continuous
22679,,Minimum carotid IMT (intima-medial thickness) at 240 degrees,continuous
22680,,Mean carotid IMT (intima-medial thickness) at 240 degrees,continuous
22681,,Maximum carotid IMT (intima-medial thickness) at 240 degrees,continuous
100760,1,Breakfast cereal consumed,binary
100880,1,Dried fruit added to cereal,binary
100890,1,Milk added to cereal,binary
2335,1,Chest pain or discomfort,binary
3616,1,Chest pain due to walking ceases when standing still,binary
3751,1,Chest pain or discomfort when walking uphill or hurrying,binary
4728,1,Leg pain on walking,binary
5452,1,Leg pain when standing still or sitting,binary
5463,1,Leg pain in calf/calves,binary
5474,1,Leg pain when walking uphill or hurrying,binary
5485,1,Leg pain when walking normally,binary
5496,1,Leg pain when walking ever disappears while walking,binary
5507,1,Leg pain on walking : action taken,binary
5518,1,Leg pain on walking : effect of standing still,binary
5529,1,Surgery on leg arteries (other than for varicose veins),binary
20433,,Age at first episode of depression,continuous
20434,,Age at last episode of depression,continuous
20435,1,Difficulty concentrating during worst depression,binary
20437,1,Thoughts of death during worst depression,binary
20441,1,Ever had prolonged loss of interest in normal activities,binary
20442,,Lifetime number of depressed periods,continuous
20445,1,Depression possibly related to childbirth,binary
20446,1,Ever had prolonged feelings of sadness or depression,binary
20447,1,Depression possibly related to stressful or traumatic event,binary
20448,1,Professional informed about depression,binary
20449,1,Feelings of tiredness during worst episode of depression,binary
20450,1,Feelings of worthlessness during worst period of depression,binary
20532,1,Did your sleep change?,binary
20533,1,Trouble falling asleep,binary
20534,1,Sleeping too much,binary
20535,1,Waking too early,binary
1289,,Cooked vegetable intake,continuous
1299,,Salad / raw vegetable intake,continuous
1309,,Fresh fruit intake,continuous
1319,,Dried fruit intake,continuous
1329,,Oily fish intake,continuous
1438,,Bread intake,continuous
1458,,Cereal intake,continuous
1488,,Tea intake,continuous
1528,,Water intake,continuous
3680,,Age when last ate meat,continuous
21024,1,Ever diagnosed with IBS,binary
21027,1,Abdominal discomfort/pain for 6 months or longer,binary
21035,1,Currently (in last 3 months) suffer from abdominal pain,binary
21038,1,Currently suffer from abdominal distension,binary
21039,,Severity of current abdominal distension/tightness,continuous
21040,,Satisfaction with bowel habits,continuous
21041,,Degree to which abdominal pain/discomfort/altered bowel habits affect/interfere with life in general,continuous
21042,,Greatest number of times bowels opened per day,continuous
21043,,Least number of times bowels opened per week,continuous
21044,,Average number of times bowels opened per day,continuous
21047,,Number of weeks (in the last year) at work suffering because of IBS,continuous
21062,1,Ever been offered/sought treatment for anxiety,binary
21063,1,Ever been offered/sought treatment for depression,binary
21064,1,Sensitive stomach,binary
21065,1,Family history of IBS,binary
21066,1,Born by caesarian section,binary
21067,1,Long-term/recurrent antibiotics as child or teenager,binary
21068,1,Diagnosed with coeliac disease or gluten sensitivity,binary
21073,1,Fever when IBS symptoms first began,binary
21074,1,Diarrhoea when IBS symptoms first began,binary
21075,1,Bloody diarrhoea when IBS symptoms first began,binary
21076,1,Vomiting when IBS symptoms first began,binary
12336,,Ventricular rate,continuous
12338,,P duration,continuous
12340,,QRS duration,continuous
22330,,PQ interval,continuous
22331,,QT interval,continuous
22332,,QTC interval,continuous
22333,,RR interval,continuous
22334,,PP interval,continuous
22335,,P axis,continuous
22336,,R axis,continuous
22337,,T axis,continuous
22338,,QRS num,continuous
5983,average,"ECG, heart rate",continuous
